#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
S05808	5808	1961 OMI 243	D  P        	deb Ablestar 008	-	1961 Jun 29	S00118	1961 Jun 29 0608	Earth	-	O	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1992 Feb  6	666	 	833	 	66.62	 	LEO/I	-	-
S05809	5809	1961 OMI 244	D  P        	deb Ablestar 008	-	1961 Jun 29	S00118	1961 Jun 29 0608	Earth	1991 Jan  3	R	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1992 Jan 28	907	 	961	 	65.11	 	LEO/I	-	-
S05810	5810	1968-097DD	D  W        	deb Kosmos-252	-	1968 Nov  1	S03530	1968 Nov  1 0402	Earth	2002 Oct  5	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1992 Feb  5	525	 	1282	 	62.42	 	LEO/I	-	-
S05811	5811	1965-082TT	D  P        	deb Transtage 4	-	1965 Oct 15	S01822	1965 Oct 15 1820	Earth	1979 Jul 18	R	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1979 Dec 22	657	 	676	 	32.43	 	LEO/I	-	-
S05812	5812	1972-001G	C  F        	PTDU cover?	KDU	1972 Jan 12	S05764	1972 Jan 25 0542?	Earth	1972 Jan 26	R	-	GUKOSR	SU	TSKBE3	Zenit deb	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Jan 26	172	 	232	 	65.07	 	LLEO/I	-	-
S05813	5813	1965-020FB	D  P        	deb Kosmos 65S3 No. 4L	-	1965 Mar 15	S01270	1965 Mar 15 1714	Earth	1981 Feb 13	R	-	RVSN	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Jan 28	550	 	1506	 	56.11	 	LEO/I	-	-
S05814	5814	1972-005A	P   D       	HEOS 2	HEOS A2	1972 Jan 31	S05817	1972 Jan 31 1808	Earth	1972 Feb  1 1108	DSO	D00421	ESRO	I-ESRO	MBB	HEOS	-	117	 	117	 	117	 	0.7	 	1.3	 	2.6	 	Cyl + Ant + Ant	1972 Mar 28	994	 	239335	 	90	 	DSO	-	-
S05815	5815	1972-005B	R2          	Delta 87	Delta DSV-3E-4	1972 Jan 31	R26722	1972 Jan 31 1730	Earth	1978 Sep 27	R	-	GSFC	US	AJ	Ablestar	AJ10-118E	785	?	785	?	785	?	5.2	 	1.4	 	5.2	 	Cyl	1972 Mar  2	312	 	1117	 	89.79	 	LEO/P	-	-
S05816	5816	1972-003B	R2          	Centaur AC-28	Centaur 20D	1972 Jan 23	R26693	1972 Jan 23 0022	Earth	-	O	-	LERC	US	GDC	Centaur D	-	2000	?	1700	?	1700	?	9.1	 	3.1	 	9.1	 	Cyl	1972 Feb 23	560	 	36618	 	28.34	 	GTO	-	-
S05817	5817	1972-005C	R3  D       	FW4D	FW4D	1972 Jan 31	S05815	1972 Jan 31 1806	Earth	1972 Feb  1 1108	DSO	D00422	GSFC	US	UTC	FW4	-	40	?	40	?	40	?	1.5	 	0.5	 	1.5	 	Cyl	1972 Feb  1	653	 	230445	 	90.2	 	DSO	-	-
