#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
S00823	823	1964-034B	R3          	11A57I	11A57I	1964 Jul  1	R09616	1964 Jul  1 1109?	Earth	1964 Jul 15	R	-	RVSN	SU	PROG	Blok-I	-	3000	?	3000	?	3000	?	9.4	 	2.7	 	9.4	 	Cyl	1964 Jul  5	180	 	318	 	64.89	 	LLEO/I	-	-
S00824	824	1964-035A	P A         	OPS 3395	Project 698BK Group 2-D	1964 Jul  2	A00499	1964 Jul  3 0057?	Earth	1969 Aug  7	AR	-	NRO/SAFSP	US	LMSC/CHAIL	SAMOS F-2	-	498	 	498	 	1368	 	2	?	1.5	 	2	?	Irr	1964 Aug  7	494	 	530	 	82.08	 	LLEO/I	-	":C,:P,NRO Mission 7155:CM,Ferret 5:JP"
S00825	825	1964-036A	P           	OPS 3684	GAMBIT SV 959	1964 Jul  6	A00500	1964 Jul  6 1901?	Earth	1964 Jul  8	D	-	NRO/SAFSP	US	GEVF	AFP-206 OCV	-	2000	?	2000	?	2190	?	5	 	1.5	 	5	 	Cyl + Frust	1964 Jul  7	121	 	346	 	92.89	 	LLEO/P	-	NRO Mission 4009
S00826	826	1964-036B	P           	NOAH'S ARK	P-11 No. 4301	1964 Jul  6	A00500	1964 Jul  6 1901?	Earth	1965 Jan  3	R	-	NRO/SAFSP	US	LMSC/ATI	P-11	-	95	 	95	 	100	 	0.3	 	0.9	 	0.9	 	Cyl	1964 Aug  5	289	 	387	 	92.99	 	LLEO/P	-	"NRO Mission 7304,OPS 4923"
S00827	827	1964-036C	C  F        	OPS 4923 sensor cover?	-	1964 Jul  6	S00826	1964 Jul  6 1910?	Earth	1964 Jul 19	R	-	SAFSP	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Jul  7	304	 	380	 	92.84	 	LLEO/P	-	-
S00828	828	1964-037A	P A         	OPS 3491	CORONA J-10	1964 Jul 10	A00505	1964 Jul 10 2321	Earth	1964 Aug  6	AR	-	NRO/CIA	US	LMSC	CORONA KH-4A	-	225	 	225	 	1600	?	2.1	 	1.3	 	2.1	 	Cyl	1964 Jul 19	173	 	450	 	84.97	 	LLEO/I	-	":C,:CC,NRO Mission 1008:CM,CORONA 82:CA"
S00829	829	1964-038A	P           	Elektron-3	2D No. 3	1964 Jul 10	S00832	1964 Jul 10 2200?	Earth	-	O	-	OKB1	SU	OKB1	Object D	-	350	 	350	 	350	 	1.5	 	0.65	 	4	?	Domed Cyl+Ant+pan	1964 Aug 11	401	 	7026	 	60.8	 	MEO	-	-
S00830	830	1964-038B	P           	Elektron-4	2D No. 4	1964 Jul 10	S00832	1964 Jul 10 2202?	Earth	1983 Oct 12	R	-	OKB1	SU	OKB1	Object D	-	444	 	444	 	444	 	1.8	 	0.85	 	5	 	Flared Cyl + Ant	1964 Aug 14	452	 	66264	 	60.63	 	HEO	-	-
S00831	831	1964-038C	C  M        	Elektron-3 motor?	-	1964 Jul 10	S00829	1964 Jul 10 2200?	Earth	-	O	-	OKB1	SU	OKB1	Adapter	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Aug 22	402	 	7060	 	60.81	 	MEO	-	-
S00832	832	1964-038D	R3          	8K72E	8K72KE	1964 Jul 10	R09674	1964 Jul 10 2200?	Earth	1983 Aug 24	R	-	RVSN	SU	PROG	Blok-E	-	1440	 	1440	 	1440	 	3.8	 	2.6	 	3.8	 	Cyl	1964 Aug 18	441	 	67379	 	60.79	 	HEO	-	-
S00833	833	1964-039A	P           	Kosmos-35	Zenit-2 No. 21L	1964 Jul 15	S00834	1964 Jul 15 1137?	Earth	1964 Jul 23 0955?	L	-	OKB1F3	SU	OKB1F3	Zenit-2	-	2100	 	2100	 	4700	 	6.5	?	2.4	?	6.5	?	Sphere + DCone	1964 Jul 18	212	 	263	 	51.26	 	LLEO/I	-	":C,:RC,11F61 No. R15001-03:RA"
S00834	834	1964-039B	R3          	8A92E	8A92E	1964 Jul 15	R09714	1964 Jul 15 1137?	Earth	1964 Aug  1	R	-	RVSN	SU	PROG	Blok-E	-	1440	 	1440	 	1440	 	3.8	 	2.6	 	3.8	 	Cyl	1964 Jul 24	205	 	245	 	51.27	 	LLEO/I	-	-
S00835	835	1964-039C	C  X        	deb Kosmos-35	-	1964 Jul 15	S00833	1964 Jul 15 1137?	Earth	1964 Jul 31	R	-	OKB1F3	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Jul 23	204	 	230	 	51.25	 	LLEO/I	-	-
S00836	836	1964-040A	P   D       	Vela II-A	Vela 2A	1964 Jul 17	A00508	1964 Jul 17 0850?	Earth	1972?	DSO	D00415	AFSSD	US	TRW	Vela	BE-3	125	 	125	 	227	?	1.4	 	1.4	 	1.4	 	Poly	1964 Sep  2	101986	 	104470	 	39.2	 	VHEO	-	FTV 3662
S00837	837	1964-040B	P   D       	Vela II-B	Vela 2B	1964 Jul 17	A00509	1964 Jul 17 0850?	Earth	1969	DSO	D00227	AFSSD	US	TRW	Vela	BE-3	125	 	125	 	217	?	1.4	 	1.4	 	1.4	 	Poly	1964 Oct  3	94374	 	111691	 	40.68	 	VHEO	-	FTV 3674
S00838	838	1964-040C	P           	ERS 13	ERS 13	1964 Jul 17	A00508	1964 Jul 17 0850?	Earth	1966 Jul  1	R	-	AFSSD	US	TRW	TRS Mk II	-	2	 	2	 	2	 	0.2	 	0.2	 	0.2	 	Tetrahedron	1964 Oct 30	319	 	104032	 	38.3	 	VHEO	-	-
S00839	839	1964-039D	C  X        	deb Kosmos-35	-	1964 Jul 15	S00833	1964 Jul 15 1142?	Earth	1964 Jul 25	R	-	OKB1F3	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Jul 23	174	 	363	 	50.95	 	LLEO/I	-	-
S00840	840	1960 ETA 4	C  Y        	Transit IIA despin weight?	-	1960 Jun 22	S00045	1960 Jun 22?	Earth	2003 Aug 19	R	-	BUWEPS	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1993 Aug  6	554	 	761	 	66.67	 	LEO/I	-	-
S00841	841	1960 ETA 5	C  Y        	Transit IIA despin weight?	-	1960 Jun 22	S00045	1960 Jun 22?	Earth	2002 Nov 29	R	-	BUWEPS	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Jul 27	609	 	1050	 	66.69	 	LEO/I	-	-
S00842	842	1964-041A	P   D       	Ranger 7	RA-7	1964 Jul 28	S00843	1964 Jul 28 1722	Earth	1964 Jul 29 0747	DSO	D00050	JPL	US	JPL	Ranger Block III	-	365	 	365	 	365	 	3	 	1.5	 	4.6	 	Oct Cyl + Truss + 2 Pan	1964 Jul 28	185	 	526173	 	28.96	 	CLO	-	-
S00843	843	1964-041B	R2  D       	Agena B 6009	Agena B 6009	1964 Jul 28	R09799	1964 Jul 28 1658	Earth	1964 Jul 29 0747	DSO	D00049	LERC	US	LMSC	Agena B	-	2240	?	600	 	600	?	6.3	 	1.5	 	6.3	 	Cyl	1964 Jul 28	184	 	434524	 	28.94	 	CLO	-	-
S00844	844	1964-042A	P           	Kosmos-36	DS-P1-Yu No. 1L	1964 Jul 30	S00845	1964 Jul 30 0343?	Earth	1965 Feb 28	R	-	OKB586/PVO	SU	OKB586	DS-P1	-	200	 	200	 	200	 	1.2	?	1.2	?	1.2	?	Poly	1964 Aug 29	253	 	476	 	49	 	LLEO/I	-	-
S00845	845	1964-042B	R2          	S1	S1	1964 Jul 30	R09831	1964 Jul 30 0343?	Earth	1964 Nov 29	R	-	RVSN	SU	OKB586	S1	-	840	 	840	 	840	 	8	 	1.6	 	8	 	Cyl	1964 Sep  7	248	 	459	 	48.99	 	LLEO/I	-	-
S00846	846	1964-043A	P A         	OPS 3042	CORONA J-12	1964 Aug  5	A00518	1964 Aug  5 2322	Earth	1964 Sep  1	AR	-	NRO/CIA	US	LMSC	CORONA KH-4A	-	266	 	266	 	1641	 	2.1	 	1.3	 	2.1	 	Cyl	1964 Aug 13	179	 	422	 	79.97	 	LLEO/I	-	":C,:CC,NRO Mission 1009:CM,CORONA 83:CA"
S00847	847	1964-015C	C  Y        	Ariel II despin weight?	-	1964 Mar 27	S00771	1964 Mar 27 1747	Earth	1968 May  6	R	-	DSIR	UK	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Aug  5	370	 	1538	 	51.39	 	LEO/I	-	-
S00848	848	1964-044A	P           	Kosmos-37	Zenit-2 No. 22L	1964 Aug 14	S00849	1964 Aug 14 0940?	Earth	1964 Aug 22 0700?	L	-	GURVO	SU	OKB1F3	Zenit-2	-	2100	 	2100	 	4700	 	6.5	?	2.4	?	6.5	?	Sphere + DCone	1964 Aug 19	203	 	285	 	64.96	 	LLEO/I	-	":C,:RC,11F61 No. R15001-04:RA"
S00849	849	1964-044B	R3          	8A92E	8A92E	1964 Aug 14	R09908	1964 Aug 14 0940?	Earth	1964 Sep  3	R	-	RVSN	SU	PROG	Blok-E	-	1440	 	1440	 	1440	 	3.8	 	2.6	 	3.8	 	Cyl	1964 Aug 21	216	 	267	 	64.97	 	LLEO/I	-	-
S00850	850	1964-045A	P           	OPS 3802	GAMBIT SV 960	1964 Aug 14	S00852	1964 Aug 14 2211?	Earth	1964 Aug 23	R	-	NRO/SAFSP	US	GEVF	AFP-206 OCV	-	2000	?	2000	?	2190	?	5	 	1.5	 	5	 	Cyl + Frust	1964 Aug 16	147	 	306	 	95.51	 	LLEO/S	-	NRO Mission 4010
S00851	851	1964-045B	P           	Hitchhiker 2	P-11 No. 4202	1964 Aug 14	S00852	1964 Aug 14 2211?	Earth	1979 Mar  8	R	-	NRO/SAFSP	US	LMSC	P-11	-	65	 	65	 	96	 	0.3	 	0.9	 	0.9	 	Cyl	1964 Dec 10	271	 	3724	 	95.69	 	MEO	-	OPS 3316
S00852	852	1964-045C	R2          	Agena D 4808	Agena D	1964 Aug 14	R09912	1964 Aug 14 2210	Earth	1964 Aug 16	R	-	AFSSD	US	LMSC	Agena D	-	600	 	600	 	600	 	6.3	 	1.5	 	6.3	 	Cyl	1964 Aug 16	142	 	245	 	95.5	 	LLEO/S	-	-
S00853	853	1964-046A	P           	Kosmos-38	Strela-1 GVM No. 02L	1964 Aug 18	S00856	1964 Aug 18 0924?	Earth	1964 Nov  8	R	-	OKB10	SU	OKB10	Strela-1 11F610	-	50	 	50	 	50	 	0.8	 	0.8	 	0.8	 	Poly	1964 Sep 18	199	 	644	 	56.12	 	LLEO/I	-	-
S00854	854	1964-046B	P           	Kosmos-39	Strela-1 GVM	1964 Aug 18	S00856	1964 Aug 18 0924?	Earth	1964 Nov 17	R	-	OKB10	SU	OKB10	Strela-1 11F610	-	50	 	50	 	50	 	0.8	 	0.8	 	0.8	 	Poly	1964 Sep 19	204	 	667	 	56.15	 	LLEO/I	-	-
S00855	855	1964-046C	P           	Kosmos-40	Strela-1 GVM	1964 Aug 18	S00856	1964 Aug 18 0924?	Earth	1964 Nov 18	R	-	OKB10	SU	OKB10	Strela-1 11F610	-	50	 	50	 	50	 	0.8	 	0.8	 	0.8	 	Poly	1964 Sep 17	202	 	637	 	56.14	 	LLEO/I	-	-
S00856	856	1964-046D	R2          	S3	S3	1964 Aug 18	R09941	1964 Aug 18 0923	Earth	1965 Feb 19	R	-	RVSN	SU	OKB586	S3	-	1434	 	1434	 	1434	 	4.2	 	2.4	 	4.2	 	Cyl	1964 Sep 18	204	 	785	 	56.14	 	LLEO/I	-	-
S00857	857	1964-046E	C  X        	deb Kosmos-38	-	1964 Aug 18	S00853	1964 Aug 18 0924?	Earth	1964 Sep 10	R	-	OKB10	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Sep  1	209	 	773	 	56.14	 	LLEO/I	-	-
S00858	858	1964-047A	P           	Syncom 3	HS-301 Syncom C	1964 Aug 19	S00862	1964 Aug 19 1242	Earth	 -	O	-	GSFC	US	HSES	HS-301	SR-12-1	34	 	33	 	66	 	0.4	 	0.7	 	0.4	 	Cyl	1964 Sep 25	35640	 	35926	 	1.04	 	GEO/S	-	-
S00859	859	1964-046F	C  X        	deb Kosmos-39	-	1964 Aug 18	S00854	1964 Aug 18 0924?	Earth	1964 Sep  6	R	-	OKB10	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Aug 25	201	 	700	 	56.29	 	LLEO/I	-	-
S00860	860	1964-046G	C  X        	deb Kosmos-40	-	1964 Aug 18	S00855	1964 Aug 18 0924?	Earth	1964 Sep  6	R	-	OKB10	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Sep  3	244	 	770	 	56.02	 	LLEO/I	-	-
S00861	861	1964-048A	P A         	OPS 2739	ARGON 22	1964 Aug 21	A00530	1964 Aug 21 1552	Earth	1965 Mar 31	AR	-	NRO/ACE	US	LMSC	CORONA ARGON	-	135	 	135	 	1325	 	1.3	 	1.5	 	1.3	 	Frust	1964 Sep 20	329	 	346	 	114.99	 	LLEO/R	-	":C,:CC,NRO Mission 9066A:CM,CORONA 84:CA"
S00862	862	1964-047B	R3          	Altair 2 RH-67	X-258B2 RH-67	1964 Aug 19	R09951	1964 Aug 19 1241	Earth	-	O	-	GSFC	US	ABL	Altair	-	38	?	38	?	38	?	1.5	 	0.5	 	1.5	 	Cyl	1964 Sep 20	1113	 	38087	 	16.8	 	GTO	-	-
S00863	863	1964-049A	R3          	8K78I	8K78I	1964 Aug 22	R09967	1964 Aug 22 0730	Earth	1964 Sep 15	R	-	RVSN	SU	PROG	Blok-I	-	2000	?	2000	?	2000	?	9.4	 	2.7	 	9.4	 	Cyl	1964 Aug 30	194	 	413	 	64.77	 	LLEO/I	-	-
S00864	864	1964-050A	P           	Kosmos-42	Strela-1	1964 Aug 22	S00866	1965 Aug 22 1107?	Earth	1965 Dec 19	R	-	OKB10	SU	OKB10	Strela-1 11F610	-	50	 	50	 	50	 	0.8	 	0.8	 	0.8	 	Poly	1964 Sep 21	228	 	1076	 	49	 	LEO/I	-	-
